Wavelength,DY415,DY490,AT520,AT550,TRX,AT620,AT655
465.5,0.99500869,0,0,0,0,0,0
465.6,0.99511961,0,0,0,0,0,0
465.7,0.99523052,0,0,0,0,0,0
465.8,0.99534144,0,0,0,0,0,0
465.9,0.99545236,0,0,0,0,0,0
466,0.99556328,0,0,0,0,0,0
466.1,0.9956742,0,0,0,0,0,0
466.2,0.99578511,0,0,0,0,0,0
466.3,0.99589603,0,0,0,0,0,0
466.4,0.99600695,0,0,0,0,0,0
466.5,0.99611787,0,0,0,0,0,0
466.6,0.99622879,0,0,0,0,0,0
466.7,0.9963397,0,0,0,0,0,0
466.8,0.99645062,0,0,0,0,0,0
466.9,0.99656154,0,0,0,0,0,0
467,0.99667246,0,0,0,0,0,0
467.1,0.99678338,0,0,0,0,0,0
467.2,0.9968943,0,0,0,0,0,0
467.3,0.99700521,0,0,0,0,0,0
467.4,0.99711613,0,0,0,0,0,0
467.5,0.99722705,0,0,0,0,0,0
467.6,0.99733797,0,0,0,0,0,0
467.7,0.99744889,0,0,0,0,0,0
467.8,0.9975598,0,0,0,0,0,0
467.9,0.99767072,0,0,0,0,0,0
468,0.99778164,0,0,0,0,0,0
468.1,0.99789256,0,0,0,0,0,0
468.2,0.99800348,0,0,0,0,0,0
468.3,0.99811439,0,0,0,0,0,0
468.4,0.99822531,0,0,0,0,0,0
468.5,0.99833623,0,0,0,0,0,0
468.6,0.99844715,0,0,0,0,0,0
468.7,0.99855807,0,0,0,0,0,0
468.8,0.99866898,0,0,0,0,0,0
468.9,0.9987799,0,0,0,0,0,0
469,0.99889082,0,0,0,0,0,0
469.1,0.99900174,0,0,0,0,0,0
469.2,0.99911266,0,0,0,0,0,0
469.3,0.99922357,0,0,0,0,0,0
469.4,0.99933449,0,0,0,0,0,0
469.5,0.99944541,0,0,0,0,0,0
469.6,0.99955633,0,0,0,0,0,0
469.7,0.99966725,0,0,0,0,0,0
469.8,0.99977816,0,0,0,0,0,0
469.9,0.99988908,0,0,0,0,0,0
470,1,0.0024,0,0,0,0,0
470.1,0.99789261,0.0024,0,0,0,0,0
470.2,0.99578521,0.0024,0,0,0,0,0
470.3,0.99367782,0.0024,0,0,0,0,0
470.4,0.99157043,0.0024,0,0,0,0,0
470.5,0.98946303,0.0024,0,0,0,0,0
470.6,0.98735564,0.0024,0,0,0,0,0
470.7,0.98524825,0.0025,0,0,0,0,0
470.8,0.98314085,0.0025,0,0,0,0,0
470.9,0.98103346,0.0025,0,0,0,0,0
471,0.97892607,0.0025,0,0,0,0,0
471.1,0.97681867,0.0025,0,0,0,0,0
471.2,0.97471128,0.0025,0,0,0,0,0
471.3,0.97260389,0.0026,0,0,0,0,0
471.4,0.97049649,0.0026,0,0,0,0,0
471.5,0.9683891,0.0026,0,0,0,0,0
471.6,0.96628171,0.0026,0,0,0,0,0
471.7,0.96417431,0.0027,0,0,0,0,0
471.8,0.96206692,0.0027,0,0,0,0,0
471.9,0.95995953,0.0027,0,0,0,0,0
472,0.95785214,0.0027,0,0,0,0,0
472.1,0.95574474,0.0028,0,0,0,0,0
472.2,0.95363735,0.0028,0,0,0,0,0
472.3,0.95152996,0.0029,0,0,0,0,0
472.4,0.94942256,0.0029,0,0,0,0,0
472.5,0.94731517,0.0029,0,0,0,0,0
472.6,0.94520778,0.003,0,0,0,0,0
472.7,0.94310038,0.003,0,0,0,0,0
472.8,0.94099299,0.003,0,0,0,0,0
472.9,0.9388856,0.0031,0,0,0,0,0
473,0.93719438,0.0031,0,0,0,0,0
473.1,0.93586343,0.0032,0,0,0,0,0
473.2,0.93453249,0.0032,0,0,0,0,0
473.3,0.93320154,0.0033,0,0,0,0,0
473.4,0.9318706,0.0034,0,0,0,0,0
473.5,0.93053965,0.0034,0,0,0,0,0
473.6,0.92920871,0.0035,0,0,0,0,0
473.7,0.92787777,0.0035,0,0,0,0,0
473.8,0.92654682,0.0036,0,0,0,0,0
473.9,0.92521588,0.0036,0,0,0,0,0
474,0.92388493,0.0037,0,0,0,0,0
474.1,0.92255399,0.0038,0,0,0,0,0
474.2,0.92122304,0.0039,0,0,0,0,0
474.3,0.9198921,0.0039,0,0,0,0,0
474.4,0.91856115,0.004,0,0,0,0,0
474.5,0.91723021,0.0041,0,0,0,0,0
474.6,0.91589926,0.0042,0,0,0,0,0
474.7,0.91456832,0.0042,0,0,0,0,0
474.8,0.91323737,0.0043,0,0,0,0,0
474.9,0.91190643,0.0044,0,0,0,0,0
475,0.91057548,0.0045,0,0,0,0,0
475.1,0.90924454,0.0046,0,0,0,0,0
475.2,0.90791359,0.0047,0,0,0,0,0
475.3,0.90658265,0.0048,0,0,0,0,0
475.4,0.9052517,0.0049,0,0,0,0,0
475.5,0.90392076,0.005,0,0,0,0,0
475.6,0.90258981,0.0051,0,0,0,0,0
475.7,0.90125887,0.0052,0,0,0,0,0
475.8,0.89992792,0.0053,0,0,0,0,0
475.9,0.89859698,0.0054,0,0,0,0,0
476,0.89726603,0.0055,0,0,0,0,0
476.1,0.89593509,0.0056,0,0,0,0,0
476.2,0.89460414,0.0057,0,0,0,0,0
476.3,0.8932732,0.0058,0,0,0,0,0
476.4,0.89194225,0.006,0,0,0,0,0
476.5,0.89061131,0.0061,0,0,0,0,0
476.6,0.88928036,0.0062,0,0,0,0,0
476.7,0.88794942,0.0063,0,0,0,0,0
476.8,0.88661847,0.0065,0,0,0,0,0
476.9,0.88528753,0.0066,0,0,0,0,0
477,0.88395658,0.0067,0,0,0,0,0
477.1,0.88262564,0.0069,0,0,0,0,0
477.2,0.88129469,0.0071,0,0,0,0,0
477.3,0.87996375,0.0072,0,0,0,0,0
477.4,0.8786328,0.0074,0,0,0,0,0
477.5,0.87730186,0.0075,0,0,0,0,0
477.6,0.87597091,0.0077,0,0,0,0,0
477.7,0.87463997,0.0079,0,0,0,0,0
477.8,0.87330903,0.008,0,0,0,0,0
477.9,0.87197808,0.0082,0,0,0,0,0
478,0.87064714,0.0083,0,0,0,0,0
478.1,0.86931619,0.0085,0,0,0,0,0
478.2,0.86798525,0.0088,0,0,0,0,0
478.3,0.8666543,0.009,0,0,0,0,0
478.4,0.86532336,0.0092,0,0,0,0,0
478.5,0.86399241,0.0094,0,0,0,0,0
478.6,0.86266147,0.0096,0,0,0,0,0
478.7,0.86133052,0.0098,0,0,0,0,0
478.8,0.85999958,0.01,0,0,0,0,0
478.9,0.85866863,0.0102,0,0,0,0,0
479,0.85733769,0.0104,0,0,0,0,0
479.1,0.85600674,0.0106,0,0,0,0,0
479.2,0.8546758,0.0109,0,0,0,0,0
479.3,0.85334485,0.0112,0,0,0,0,0
